,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,Present,Absent,%Att
0,P,P,P,A,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,A,A,A,P,P,P,A,A,P,A,36,7,72.0
1,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,A,P,P,P,A,P,P,A,P,A,P,P,P,P,P,A,P,38,5,76.0
2,P,P,P,P,A,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,A,P,P,P,P,P,P,P,P,P,P,P,P,P,P,A,P,P,A,P,A,P,38,5,76.0
3,P,A,P,P,P,A,P,P,P,P,P,P,P,P,A,P,P,P,P,P,A,P,P,P,A,P,P,P,P,A,P,P,A,P,P,P,P,P,P,P,P,P,P,36,7,72.0
4,A,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,A,P,P,P,P,P,P,P,P,A,P,P,P,A,A,P,P,A,A,A,P,P,P,A,P,P,P,34,9,68.0
5,A,P,P,P,P,A,P,P,P,P,P,P,P,P,A,P,P,P,A,P,P,P,P,P,P,P,P,P,A,P,P,A,P,P,P,P,P,P,A,A,P,P,P,35,8,70.0
6,A,P,P,A,A,P,P,P,A,P,P,P,A,P,A,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,A,P,P,A,P,P,A,P,P,A,P,A,32,11,64.0
7,P,A,P,P,P,A,P,A,P,A,A,P,P,A,P,A,P,A,P,P,P,A,P,P,P,A,P,P,P,A,P,P,P,P,P,P,P,P,P,P,A,A,P,30,13,60.0
8,P,P,P,P,P,P,P,P,P,A,P,A,A,P,P,P,P,A,A,P,P,P,P,P,P,P,A,A,P,P,A,P,P,P,P,P,A,P,P,P,A,P,P,33,10,66.0
9,P,A,P,A,P,P,P,P,A,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,A,P,P,P,P,P,P,P,P,P,A,P,P,P,P,38,5,76.0
10,A,P,P,P,A,P,P,P,P,A,P,P,A,P,P,P,A,A,A,P,P,P,P,P,P,P,P,P,P,P,P,P,P,A,P,P,A,P,P,P,P,P,P,34,9,68.0
11,P,P,P,P,P,P,A,P,P,P,P,A,A,P,P,P,P,P,P,P,P,P,A,A,P,P,P,P,P,A,A,P,P,P,P,P,P,P,P,P,A,P,P,35,8,70.0
12,P,P,P,A,P,P,P,P,P,P,P,P,P,P,P,P,P,P,A,A,P,P,P,P,P,P,P,P,P,P,P,P,P,A,P,P,P,P,A,P,A,P,A,36,7,72.0
13,A,P,P,A,A,P,A,P,P,A,P,P,P,P,P,P,P,P,P,P,P,A,A,P,A,P,P,A,P,P,P,P,A,P,P,P,P,A,P,P,P,P,P,32,11,64.0
14,P,A,A,A,P,P,P,A,P,P,P,P,A,P,P,P,P,P,P,P,P,P,P,P,P,P,P,A,P,P,P,P,P,P,A,P,P,P,P,A,P,P,A,34,9,68.0
15,P,P,P,P,P,P,P,P,P,P,P,P,P,A,A,P,A,A,P,P,A,A,P,P,P,A,P,P,P,P,P,P,P,A,P,P,P,P,P,P,A,P,P,34,9,68.0
16,P,P,P,A,P,A,P,P,P,P,P,P,P,P,P,P,A,P,A,P,P,A,P,P,P,P,P,P,P,P,A,A,A,A,P,A,A,P,P,P,P,P,A,31,12,62.0
17,P,P,P,A,P,P,P,P,P,P,P,P,A,A,P,P,P,P,P,P,P,A,A,P,P,A,P,P,P,P,P,P,A,P,P,P,A,A,P,P,P,P,P,34,9,68.0
18,P,P,P,P,A,P,P,P,P,P,P,P,P,P,P,A,P,A,P,P,A,P,P,P,A,P,P,P,P,P,A,A,P,A,P,A,A,P,P,P,P,P,P,33,10,66.0
19,P,P,P,P,P,P,P,P,P,A,P,P,P,P,P,P,P,P,A,A,P,P,P,A,P,P,A,P,P,P,P,P,P,A,P,P,P,P,P,P,P,P,P,37,6,74.0
20,P,A,P,P,P,P,P,P,P,P,P,A,P,P,P,P,P,P,A,P,P,P,P,P,P,P,P,P,A,P,P,P,P,A,P,P,P,P,P,P,P,P,P,38,5,76.0
21,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,A,P,A,P,P,P,P,P,P,P,P,P,P,P,P,P,P,A,P,P,P,P,P,P,P,P,P,40,3,80.0
22,P,P,P,P,A,A,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,A,P,P,A,P,P,P,P,P,A,P,P,P,P,P,P,P,P,P,A,P,37,6,74.0
